DEBUG 2022-04-14 17:26:58,037 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:58,291 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:58,548 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:58,811 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:59,063 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:59,315 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:59,577 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:26:59,830 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:00,094 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:00,357 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:00,616 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:00,881 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:01,136 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:01,402 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:01,661 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:01,923 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:02,175 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:02,438 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:02,693 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:02,956 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:03,208 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:03,473 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:03,726 - sent broadcast 'who is up'
DEBUG 2022-04-14 17:27:03,980 - sent broadcast 'who is up'
